source_pdf,page_number,accident_code,accident_name,basic_fault_ratio,modification_factors,related_cases,raw_text
과실비율인정기준,81,,,3,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:080,1997. 10. 10. 선고 97도835 판결; 1994. 8. 23. 선고 94도199 판결,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 080
⊙ 도로교통법 시행규칙 별표2(신호기가 표시하는 신호의 종류 및 신호의 뜻)
구분 신호의 종류 신호의 뜻
녹색의 등화 보행자는 횡단보도를 횡단할 수 있다.
보행 녹색 등화의 보행자는 횡단을 시작하여서는 아니 되고, 횡단하고 있는 보행자는 신속하게
신호등 점멸 횡단을 완료하거나 그 횡단을 중지하고 보도로 되돌아와야 한다.
적색의 등화 보행자는 횡단보도를 횡단하여서는 아니 된다.
1. 차마는 직진 또는 우회전할 수 있다.
녹색의 등화 2. 비보호좌회전표지 또는 비보호좌회전표시가 있는 곳에서는 좌회전할
수 있다.
1. 차마는 정지선이 있거나 횡단보도가 있을 때에는 그 직전이나
교차로의 직전에 정지하여야 하며, 이미 교차로에 차마의 일부라도
황색의 등화 진입한 경우에는 신속히 교차로 밖으로 진행하여야 한다.
2. 차마는 우회전 할 수 있고 우회전하는 경우에는 보행자의 횡단을
차량 원형"
과실비율인정기준,82,보19,3) 자동차 횡단보도 통과 전( ),50,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:081; 횡단보도 통과 전( ) [보:19; ) 녹색 횡단:20; ) 적색 횡단:50; 시야장애:+10; 도 구분 없음:-5; 의 현저한 과실:-10; 의 중대한 과실:-20; 의 기본 과실비율을:20,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 081
3) 자동차 횡단보도 통과 전( ) [보19]
前
보행자 녹색(적색)신호 횡단 중 사고
보19
(보) 횡단보도 10m 이내 횡단
(차) 직진(횡단보도 통과 전)
보행자 기본 (가) 녹색 횡단 20
과실비율 (나) 적색 횡단 50
보행자 급진입 +5
야간·기타 시야장애 +10
과 간선도로 +10
실 정지·후퇴·ㄹ자 보행 +10
비 ① 횡단금지규제 있음 +10
율
주택·상점가·학교 -5
집단횡단 -5
조
정 보·차도 구분 없음 -5
예 어린이·노인·장애인 -5
시 어린이·노인·장애인보호구역 -15
② 차의 현저한 과실 -10
차의 중대한 과실 -20
※사고발생, 손해확대와의 인과관계를 감안하여 기본 과실비율을 가(+), 감(-) 조정 가능합니다.
사고 상황
⊙ 신호기가 있는 횡단보도 부근에서 횡단보도를 통과하려는 차량이 횡단보도 부근을 건너고
있던 보행자를 충격한 사고이다.
기본 "
과실비율인정기준,83,,,3,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:082; 는 안전표지만 있는 경우에는:10; 펜스 등의 횡단금지시설이 설치되어 있는 경우에는:20; 의 과실을:10,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 082
수정요소(인과관계를 감안한 과실비율 조정) 해설
① 보·차도의 구분이 있고 표지 등에 의해 횡단금지라는 것을 쉽게 인식할 수 있는 것을 전제로
보행자의 과실을 가산하며, 횡단을 금지하는 안전표지만 있는 경우에는 10%를 가산하고
가드레일이나 펜스 등의 횡단금지시설이 설치되어 있는 경우에는 20%를 가산할 수 있다.
다만, 횡단금지 규제표지가 있으나 시설물 노후, 가로수, 기타 시설물 등으로 인하여 인식
되기 어려운 경우에는 보행자의 과실을 가산하지 않는다.
② 다른 차량들이 횡단보도 부근 보행자를 보고 정지하고 있는데도 일시정지 또는 서행하지
아니하고 다른 차량을 앞지르기하다가 사고를 야기한 경우에 ‘차의 현저한 과실’로 보고
보행자의 과실을 10%까지 감산할 수 있다.
관련 법규
⊙ 도로교통법 제5조(신호 또는 지시에 따를 의무)
① 도로를 통행하는 보행자, 차마 또는 노면전"
과실비율인정기준,85,보20,,20,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:084; 기본 과실비율:20; 시야장애:+10; 도 구분 없음(중앙선이 있음):-5; 도 구분 없음(중앙선이 없음):-15; 의 현저한 과실:-10; 의 중대한 과실:-20; 기본 과실비율:40; 도 구분 없음:-5,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 084
(4) 횡단시설 부근(신호등 없음) [보20~보21]
직선도로 횡단보도 부근 보행자 횡단 사고
보20
(보) 횡단보도 10m 이내 횡단
(차) 직진
보행자 기본 과실비율 20
① 야간·기타 시야장애 +10
간선도로 +10
정지·후퇴·ㄹ자 보행 +10
과 ② 횡단금지규제 있음 +10
실 주택·상점가·학교 -5
비 집단횡단 -5
율 ③ 보·차도 구분 없음(중앙선이 있음) -5
④ 보·차도 구분 없음(중앙선이 없음) -15
⑤ 정지선 안쪽 지점 -10
조
어린이·노인·장애인 -5
정
노인·장애인보호구역 -15
예
어린이 보호구역(신호기 미설치 횡단보도
시 ⑥ (또는 정지선이 설치된 경우)) -30
⑦ 차의 현저한 과실 -10
차의 중대한 과실 -20
보행자 급진입 비적용
※사고발생, 손해확대와의 인과관계를 감안하여 기본 과실비율을 가(+), 감(-) 조정 가능합니다.
육교 및 지하도"
과실비율인정기준,86,,,20,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:085; 의 기본 과실비율을:20; 의 기본 과실비율을:40; 의 과실을:10; 는 안전표지만 있는 경우에는:10; 펜스 등의 횡단금지시설이 설치되어 있는 경우에는:20; 의 과실을:5; 의 과실을:15,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 085
사고 상황
⊙ 보20 차량이 신호등이 없는 통상의 횡단보도 부근에서 도로를 건너고 있던 보행자를 충격한
사고이다.
⊙ 보21 차량이 직진 중 육교 및 지하도 부근에서 도로를 건너고 있던 보행자를 충격한 사고
이다.
기본 과실비율 해설
⊙ 보20 신호등이 없는 통상의 횡단보도 부근의 사고이므로 차량의 신호위반 과실은 없으나,
도로교통법 제27조 제1항에 따라 차량이 보행자를 보호할 의무가 있으므로 횡단보도를
벗어난 지점에서 도로를 횡단한 보행자의 기본 과실비율을 20%로 정하였다.
⊙ 보21 육교나 지하도가 설치된 경우에는 횡단보도가 설치된 경우보다 운전자가 보행자의
존재를 예견하기 어렵다는 점을 감안하여 보행자의 기본 과실비율을 40%로 정하였다.
수정요소(인과관계를 감안한 과실비율 조정) 해설
① 사고가 야간에 발생하였거나 차량에게 기타 시야장애가 있었던 경우 또는 사고 발생"
과실비율인정기준,87,,,10,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:086; 의 과실을:10,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 086
⑥ 차량 운전자는 어린이·노인·장애인보호구역에서 보행자보호의무가 가중되므로 보행자의
과실을 15%까지 감산할 수 있고, 다만 어린이보호구역내에 신호기가 설치되지 않은 횡단
보도(정지선이 설치된 경우에는 그 정지선을 말한다)에서는 보행자의 횡단 여부와 관계없이
일시정지의무가 있으므로, 이러한 경우에는 좀 더 보행자보호의무를 가중하여 보행자의
과실을 30%까지 감산할 수 있다.
⑦ 다른 차량이 모두 정지선에 정지하고 있음에도 불구하고 만연히 횡단보도를 통과하여
사고가 발생한 경우에는 이를 차의 현저한 과실로 보고 보행자의 과실을 10%까지 감산
할 수 있다.
활용시 참고 사항
⊙ 육교 및 지하도 부근이라 함은 횡단보도 부근이라는 개념과 동일하게 10m 내외의 지점을
말하고, 10~30m 지점의 사고는 기본 과실비율에 보행자의 과실을 10% 가산할 수 있으며
그 거리를 넘는 지점에서"
과실비율인정기준,88,,,3,"고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:087; 고 왕복:6; 고: A과실:50; 량 통행이 빈번한 왕복:7; 던 중 전방주시의무를 태만히 한 과실로, 횡단보도 부근(:20",,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 087
⊙ 도로교통법 제10조(도로의 횡단)
② 보행자는 제1항에 따른 횡단보도, 지하도, 육교나 그 밖의 도로 횡단시설이 설치되어 있는
도로에서는 그곳으로 횡단하여야 한다. 다만, 지하도나 육교 등의 도로 횡단시설을 이용할
수 없는 지체장애인의 경우에는 다른 교통에 방해가 되지 아니하는 방법으로 도로 횡단
시설을 이용하지 아니하고 도로를 횡단할 수 있다.
⊙ 도로교통법 제27조(보행자의 보호)
⑥ 모든 차의 운전자는 다음 각 호의 어느 하나에 해당하는 곳에서 보행자의 옆을 지나는 경우
에는 안전한 거리를 두고 서행하여야 하며, 보행자의 통행에 방해가 될 때에는 서행하거나
일시정지하여 보행자가 안전하게 통행할 수 있도록 하여야 한다.
1. 보도와 차도가 구분되지 아니한 도로 중 중앙선이 없는 도로
2. 보행자우선도로
3. 도로 외의 곳
⑦ 모든 차 또는 노면전차의 운전자는 제12조제1"
과실비율인정기준,89,,,3,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:088; 고: A과실:50; 고: A과실:30,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 088
좌측에서 우측으로 무단횡단 하던 A를 충격한 사고: A과실 50%(야간, 간선도로, 횡단금지
규제 있음 수정요소 적용)
⊙ 서울지방법원 2008. 9. 24. 선고 2008가단43332 판결
야간에 신호등 없는 편도 3차로 도로에서 B차량이 3차로를 따라 운행 중 전방주시의무를
태만한 과실로, 술에 취한 채 위 도로에 설치된 횡단보도를 조금 벗어난 지점을 횡단하던 A를
충격한 사고: A과실 30%(야간 수정요소 적용)"
과실비율인정기준,90,보22,,30,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:089; ) 소로 횡단:10; ) 동일폭 횡단:20; ) 대로 횡단:30; 시야장애:+10; 도 구분 없음(중앙선이 있음):-5; 도 구분 없음(중앙선이 없음):-15; 의 현저한 과실:-10; 의 중대한 과실:-20,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 089
(5) 횡단보도 없음
1) 도로 유형별 [보22~보23]
교차로(도로폭 기준별) 횡단 중 사고
보22
(보) 교차로 횡단
(차) 교차로 주행
(가) 소로 횡단 10
보행자 기본
(나) 동일폭 횡단 20
과실비율 (다) 대로 횡단 30
보행자 급진입 +5
야간·기타 시야장애 +10
과 ① 간선도로 +10
실 정지·후퇴·ㄹ자 보행 +10
비 ② 대각선 횡단 +10
③ 횡단금지규제 있음 +10
율
주택·상점가·학교 -5
집단횡단 -5
조
④ 보·차도 구분 없음(중앙선이 있음) -5
정
⑤ 보·차도 구분 없음(중앙선이 없음) -15
예 어린이·노인·장애인 -5
시 어린이·노인·장애인보호구역 -15
⑥ 차의 현저한 과실 -10
차의 중대한 과실 -20
※사고발생, 손해확대와의 인과관계를 감안하여 기본 과실비율을 가(+), 감(-) 조정 가능합니다.
사고 상황
⊙ 신호등이 없는 교차로에서"
과실비율인정기준,91,,,3,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:090; 는 안전표지만 있는 경우에는:10; 펜스 등의 횡단금지시설이 설치되어 있는 경우에는:20; 의 과실을:5; 의 과실을:15; 의 과실을:10,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 090
수정요소(인과관계를 감안한 과실비율 조정) 해설
① 간선도로 교차로의 경우에는 운전자에게 보행자횡단의 예견가능성이 적으므로 보행자의
과실을 10%까지 가산할 수 있다.
② 교차로를 가로질러 대각선으로 횡단하는 경우에는 보행자의 과실이 더욱 크므로 보행자의
과실을 10%까지 가산할 수 있다.
③ 보·차도의 구분이 있고 표지 등에 의해 횡단금지라는 것을 쉽게 인식할 수 있는 것을 전제로
보행자의 과실을 가산하며, 횡단을 금지하는 안전표지만 있는 경우에는 10%를 가산하고
가드레일이나 펜스 등의 횡단금지시설이 설치되어 있는 경우에는 20%를 가산할 수 있다.
다만, 횡단금지 규제표지가 있으나 시설물 노후, 가로수, 기타 시설물 등으로 인하여 인식
되기 어려운 경우에는 보행자의 과실을 가산하지 않는다.
④ 보행자는 보도와 차도의 구분이 없는 도로 중 중앙선이 있는 도로에서는 길 가장자"
과실비율인정기준,92,,,3,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:091,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 091
③ 보행자는 다음 각 호의 어느 하나에 해당하는 곳에서는 도로의 전 부분으로 통행할 수 있다.
이 경우 보행자는 고의로 차마의 진행을 방해하여서는 아니 된다.
1. 보도와 차도가 구분되지 아니한 도로 중 중앙선이 없는 도로(일방통행인 경우에는 차선으로
구분되지 아니한 도로에 한정한다. 이하 같다)
2. 보행자우선도로
④ 보행자는 보도에서는 우측통행을 원칙으로 한다.
⊙ 도로교통법 제10조(도로의 횡단)
③ 보행자는 제1항에 따른 횡단보도가 설치되어 있지 아니한 도로에서는 가장 짧은 거리로
횡단하여야 한다.
④ 보행자는 차와 노면전차의 바로 앞이나 뒤로 횡단하여서는 아니된다. 다만, 횡단보도를
횡단하거나 신호기 또는 경찰공무원등의 신호나 지시에 따라 도로를 횡단하는 경우에는
그러하지 아니하다.
⑤ 보행자는 안전표지 등에 의하여 횡단이 금지되어 있는 도로의 부분에서는 그 도로를 횡"
과실비율인정기준,93,,,3,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:092; 고: A과실:20,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 092
참고 판례
⊙ 서울지방법원 북부지원 1991. 12. 3. 선고 91가합8733 판결
야간에 신호등 없는 사거리(十자) 교차로에서 B차량이 좌회전 하던 중 전방·좌우 주시의무를
태만히 한 과실로, 차량의 운행에 주의를 기울이지 아니하고 도로를 무단횡단 하던 A를 충격
하여 상해를 입게 한 사고: A과실 20%"
과실비율인정기준,94,보23,,20,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:093; 기본 과실비율:20; 시야장애:+10; 도 구분없음(중앙선이 없음):-15; 의 현저한 과실:-10; 의 중대한 과실:-20; 량은 도로교통법 제:27; 의 기본 과실비율을:20; 는 안전표지만 있는 경우에는:10,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 093
단일로(중앙선 없음) 횡단 중 사고
보23
(보) 횡단
(차) 직진
보행자 기본 과실비율 20
보행자 급진입 +5
야간·기타 시야장애 +10
과 ① 간선도로 +10
실 정지·후퇴·ㄹ자 보행 +10
비 ② 횡단금지규제 있음 +10
율
주택·상점가·학교 -5
집단횡단 -5
조
정 ③ 보·차도 구분없음(중앙선이 없음) -15
예 어린이·노인·장애인 -5
시 어린이·노인·장애인보호구역 -15
④ 차의 현저한 과실 -10
차의 중대한 과실 -20
※사고발생, 손해확대와의 인과관계를 감안하여 기본 과실비율을 가(+), 감(-) 조정 가능합니다.
사고 상황
⊙ 차량이 통상의 단일로(직선로 또는 곡선로)에서 도로를 횡단하고 있던 보행자를 충격한
사고이다.
기본 과실비율 해설
⊙ 보행자가 도로를 횡단할 때 부주의한 과실이 있지만, 차량은 도로교통법 제27조 제5항에
따라 보행자가 횡단보도가 설"
과실비율인정기준,95,,,3,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:094; 의 과실을:15; 의 과실을:10,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 094
횡단금지 규제표지가 있으나 시설물 노후, 가로수, 기타 시설물 등으로 인하여 인식되기
어려운 경우에는 가산하지 않는다.
③ 보행자는 보도와 차도가 구분되지 아니한 도로 중 중앙선이 없는 도로에서는 도로의 전
부분으로 통행할 수 있고, 차량 운전자는 보행자와 거리를 두고 진행하는 등 보행자 보호의
무가 있으므로, 비록 횡단 중 사고라고 하더라도 보행자의 과실을 15%까지 감산할 수 있다.
④ 다른 차량이 모두 보행자를 보호하기 위해 정차하고 있었음에도 만연히 진행하다가 사고가
발생한 경우에는 이를 ‘차의 현저한 과실’로 보고 보행자의 과실을 10%까지 감산할 수 있다.
활용시 참고 사항
⊙ 자동차전용도로인 경우에는 본 기준을 적용하지 아니한다.
관련 법규
⊙ 도로교통법 제8조(보행자의 통행)
① 보행자는 보도와 차도가 구분된 도로에서는 언제나 보도로 통행하여야 한다. 다만, 차도"
과실비율인정기준,96,,,3,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:095; 내리는 야간 새벽에 편도:3; 고: A과실:30,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 095
④ 보행자는 차와 노면전차의 바로 앞이나 뒤로 횡단하여서는 아니된다. 다만, 횡단보도를
횡단하거나 신호기 또는 경찰공무원등의 신호나 지시에 따라 도로를 횡단하는 경우에는
그러하지 아니하다.
⑤ 보행자는 안전표지 등에 의하여 횡단이 금지되어 있는 도로의 부분에서는 그 도로를 횡단
하여서는 아니 된다.
⊙ 도로교통법 제27조(보행자의 보호)
③ 모든 차의 운전자는 교통정리를 하고 있지 아니하는 교차로 또는 그 부근의 도로를 횡단
하는 보행자의 통행을 방해하여서는 아니 된다.
⑤ 모든 차 또는 노면전차의 운전자는 보행자가 제10조제3항에 따라 횡단보도가 설치되어
있지 아니한 도로를 횡단하고 있을 때에는 안전거리를 두고 일시정지하여 보행자가 안전
하게 횡단할 수 있도록 하여야 한다.
⑥ 모든 차의 운전자는 다음 각 호의 어느 하나에 해당하는 곳에서 보행자의 옆을 지나는 경우
에는 안전"
과실비율인정기준,97,보24,,0,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:096; 도(구분 있음) [보:24; 기본 과실비율:0; 량진출입 허용구간:+5; 기본 과실비율:10; 시야장애:+10; 의 현저한 과실:-10; 의 중대한 과실:-20,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 096
2) 보도와 차도(구분 있음) [보24~보26]
자동차 보도 침범 사고
보24
(보) 보도 보행
(차) 보도 침범 주행
보행자 기본 과실비율 0
① 차량진출입 허용구간 +5
야간·기타 시야장애
과 간선도로
실 정지·후퇴·ㄹ자 보행
비
보행자 급 진입
율
주택·상점가·학교
비적용
조 어린이·노인·장애인
정
어린이·노인·장애인 보호구역
예
시 차의 현저한 과실
차의 중대한 과실
보·차도 구분 없음
※사고발생, 손해확대와의 인과관계를 감안하여 기본 과실비율을 가(+), 감(-) 조정 가능합니다.
보행자의 차도보행중 사고(보도 공사중)
보25
(보) 차도 보행(보도 공사 또는 퇴적토 등)
(차) 차도 주행
보행자 기본 과실비율 10
③ 간선도로 +5
정지·후퇴·ㄹ자 보행 +5
과 ② 야간·기타 시야장애 +10
실
비 주택·상점가·학교 -5
율 집단보행 -5
조 어린이·노인·장애인 -5"
과실비율인정기준,98,보26,,1,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:097; 도 경계:1; 시야장애:+10; 의 현저한 과실:-10; 의 중대한 과실:-20; 유로 도로교통법 제:8; 량이 도로교통법 제:8,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 097
차도보행중 사고(보·차도 경계 거리)
보26
(보) 차도보행(보·차도 경계 1m 내외)
(차) 차도주행
보행자 기본 (가) 1m이내 20
과실비율 (나) 1m이상 30
② 야간·기타 시야장애 +10
정지·후퇴·ㄹ자 보행 +10
과
③ 간선도로 +10
실
비 주택·상점가·학교 -5
율 집단보행 -5
어린이·노인·장애인 -5
조
정 어린이·노인·장애인보호구역 -15
예 차의 현저한 과실 -10
시
차의 중대한 과실 -20
보행자 급진입 비적용
※사고발생, 손해확대와의 인과관계를 감안하여 기본 과실비율을 가(+), 감(-) 조정 가능합니다.
사고 상황
⊙ 보24 보도와 차도의 구분이 있는 도로에서 차도를 진행하는 차량이 “차도가 아닌 장소”로
진출 또는 “차도가 아닌 장소”에서 차도로 진입하다가 보도 위를 걷고 있는 보행자를 충격한
사고이다.
⊙ 보25 보도와 차도의 구분이 있는 도"
과실비율인정기준,99,,,10,"고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:098; 의 기본 과실비율을:10; 의 기본 과실비율을:20; 의 기본 과실비율을:30; 의 과실을:5; 의 과실을:10; 여 최고:20; 만, 보:25",,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 098
⊙ 보25 도로공사 등으로 인하여 보행자가 보도를 통행하는 것이 불가능하여 부득이 차도를
통행한 경우에 차도를 통행하였다는 점을 감안하여 보행자의 기본 과실비율을 10%로
정하였다.
⊙ 보26 도로교통법 제8조 제1항 단서에 의거한 부득이한 경우가 아님에도 보행자가
차도를 통행한 경우에 보행자의 과실을 가산하여야 하는데, 차도측단을 보행한 경우에는
보행자의 기본 과실비율을 20%, 그 외의 경우에는 보행자의 기본 과실비율을 30%로
정하였다.
수정요소(인과관계를 감안한 과실비율 조정) 해설
① 차량진출입 허용구간이란, 인도이긴 하나 주유소 출입구, 주차장 출입구 등 차량의 통행이
허용된 구간을 말하며 이 경우에는 보행자도 차량의 동태에 주의하여야 할 의무가 있으므로
보행자의 과실을 5%까지 가산할 수 있다.
② 사고가 야간에 발생하였거나 차량에게 기타 시야장애가 있었던 경우 차"
과실비율인정기준,100,,,3,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:099; 구분되어 있는 편도:1; 고 : A과실:20,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 099
③ 보행자는 다음 각 호의 어느 하나에 해당하는 곳에서는 도로의 전 부분으로 통행할 수 있다.
이 경우 보행자는 고의로 차마의 진행을 방해하여서는 아니 된다.
1. 보도와 차도가 구분되지 아니한 도로 중 중앙선이 없는 도로(일방통행인 경우에는 차선으로
구분되지 아니한 도로에 한정한다. 이하 같다)
2. 보행자우선도로
④ 보행자는 보도에서는 우측통행을 원칙으로 한다.
⊙ 도로교통법 제13조(차마의 통행)
① 차마의 운전자는 보도와 차도가 구분된 도로에서는 차도로 통행하여야 한다. 다만, 도로
외의 곳으로 출입할 때에는 보도를 횡단하여 통행할 수 있다.
⊙ 도로교통법 제27조(보행자의 보호)
④ 모든 차의 운전자는 도로에 설치된 안전지대에 보행자가 있는 경우와 차로가 설치되지 아
니한 좁은 도로에서 보행자의 옆을 지나는 경우에는 안전한 거리를 두고 서행하여야 한다.
참고 판례
⊙ "
과실비율인정기준,101,보27,-1,0,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:100; 도(구분 없음) [보:27; 기본 과실비율:0; 시야장애:+5; 량 진행 방해:+15; 의 현저한 과실:-10; 의 중대한 과실:-20,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 100
3) 보도와 차도(구분 없음) [보27~보28]
중앙선이 없는 차도 보행 중 사고
보27-1
(보) 차도 보행
(차) 차도 주행
보행자 기본 과실비율 0
야간·기타 시야장애 +5
① ㄹ자 보행 +5
과 ② 고의로 차량 진행 방해 +15
실
비 주택·상점가·학교 -5
율 집단보행 -5
조 어린이·노인·장애인 -5
정 어린이·노인·장애인보호구역 -15
예
차의 현저한 과실 -10
시
차의 중대한 과실 -20
보행자 급진입 비적용
※사고발생, 손해확대와의 인과관계를 감안하여 기본 과실비율을 가(+), 감(-) 조정 가능합니다.
사고 상황
⊙ 보도와 차도의 구별이 없는 도로 중 중앙선이 없는 도로(일방통행인 경우에는 차선으로
구분되지 아니한 도로에 한정함, 이하 같음)에서 차량의 동일(반대)방향으로 통행하는
보행자를 충격한 사고이다.
기본 과실비율 해설
⊙ 도로교통법 제8조 제3항에 "
과실비율인정기준,102,,,3,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:101; 의 과실을:5; 는 도로교통법 제:8; 의 과실을:15; )은 제:8,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 101
수정요소(인과관계를 감안한 과실비율 조정) 해설
① 보도와 차도의 구분이 없는 도로 중 중앙선이 없는 도로인 경우에는 보행자는 도로의 전부
분을 통행할 수 있고, 차량 운전자는 보행자와 거리를 두고 진행하는 등 보행자 보호의무가
있으므로, ㄹ자 보행을 하는 경우라도 보행자의 과실을 5%까지 가산할 수 있다.
② 보행자는 도로교통법 제8조 제3항 단서에 따라 고의로 차량의 진행을 방해해서는 아니
되므로, 이러한 경우 보행자의 과실을 15%까지 가산할 수 있다.
관련 법규
⊙ 도로교통법 제2조(정의)
11. “길가장자리구역”이란 보도와 차도가 구분되지 아니한 도로에서 보행자의 안전을 확보
하기 위하여 안전표지 등으로 경계를 표시한 도로의 가장자리 부분을 말한다.
⊙ 도로교통법 제8조(보행자의 통행)
① 보행자는 보도와 차도가 구분된 도로에서는 언제나 보도로 통행하여야 한다. 다만,"
과실비율인정기준,103,,,3,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:102,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 102
② 행렬 등은 사회적으로 중요한 행사에 따라 시가를 행진하는 경우에는 도로의 중앙을 통행
할 수 있다.
⊙ 도로교통법 제27조(보행자의 보호)
④ 모든 차의 운전자는 도로에 설치된 안전지대에 보행자가 있는 경우와 차로가 설치되지 아
니한 좁은 도로에서 보행자의 옆을 지나는 경우에는 안전한 거리를 두고 서행하여야 한다.
⑥ 모든 차의 운전자는 다음 각 호의 어느 하나에 해당하는 곳에서 보행자의 옆을 지나는 경우
에는 안전한 거리를 두고 서행하여야 하며, 보행자의 통행에 방해가 될 때에는 서행하거나
일시정지하여 보행자가 안전하게 통행할 수 있도록 하여야 한다.
1. 보도와 차도가 구분되지 아니한 도로 중 중앙선이 없는 도로
2. 보행자우선도로
3. 도로 외의 곳"
과실비율인정기준,104,보27,-2,0,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:103; 기본 과실비율:0; 시야장애:+10; 의 현저한 과실:-10; 의 중대한 과실:-20; 기본 과실비율:20,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 103
차도 가장자리 보행 중 사고
(중앙선이 있는 도로, 일방통행인 경우 차선으로 구분된 도로를 포함)
보27-2
(보) 차도 가장자리 보행
(차) 차도 주행
보행자 기본 과실비율 0
야간·기타 시야장애 +10
① 간선도로 +10
과 ㄹ자 보행 +10
실
비 주택·상점가·학교 -5
율 집단보행 -5
조 어린이·노인·장애인 -5
정 어린이·노인·장애인보호구역 -15
예
차의 현저한 과실 -10
시
차의 중대한 과실 -20
보행자 급진입 비적용
※사고발생, 손해확대와의 인과관계를 감안하여 기본 과실비율을 가(+), 감(-) 조정 가능합니다.
차도 중앙부분 보행 중 사고
(중앙선이 있는 도로, 일방통행인 경우 차선으로 구분된 도로를 포함)
보28
(보) 차도 중앙부분 보행
(차) 차도 주행
보행자 기본 과실비율 20
야간·기타 시야장애 +10
① 간선도로 +10
과 ㄹ자 보행 +10
실
"
